STATE/UT,Year,CAUSE,Male upto 14 years,Male 15-29 years,Male 30-44 years,Male 45-59 years,Male 60 years and above,Total Male,Female upto 14 years,Female 15-29 years,Female 30-44 years,Female 45-59 years,Female 60 years and above,Total Female,Grand Total
ANDHRA PRADESH,2001,Air-Crash,0,0,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,2001,Collapse of Structure(House),2,10,8,7,1,28,7,9,7,1,4,28,56
ANDHRA PRADESH,2001,Collapse of Structure(Building),2,6,14,5,2,29,0,2,1,3,1,7,36
ANDHRA PRADESH,2001,Collapse of Structure(Dam),0,0,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,2001,Collapse of Structure(Bridge),2,0,3,0,1,6,0,0,4,2,0,6,12
ANDHRA PRADESH,2001,Collapse of Structure(Others),5,30,20,14,11,80,4,11,9,7,2,33,113
ANDHRA PRADESH,2001,Drowning (Boat Capsize),7,12,11,3,1,34,3,1,3,0,0,7,41
ANDHRA PRADESH,2001,Drowning(Other Cases),117,337,306,191,93,1044,39,136,86,59,42,362,1406
ANDHRA PRADESH,2001,Electrocution,31,170,239,98,35,573,13,24,26,25,4,92,665
ANDHRA PRADESH,2001,Explosion (Bomb explosion),1,10,2,0,0,13,0,14,2,0,0,16,29
ANDHRA PRADESH,2001,"Explosion(Other explosion like Boilers,",0,3,1,0,0,4,0,1,2,1,0,4,8
ANDHRA PRADESH,2001,Falls (Fall from Height),36,202,243,158,57,696,11,27,24,19,7,88,784
ANDHRA PRADESH,2001,Fall into Pit/Manhole,5,8,23,13,6,55,0,6,3,1,0,10,65
ANDHRA PRADESH,2001,Factory/Machine Accidents,0,9,24,7,0,40,0,4,11,2,0,17,57
ANDHRA PRADESH,2001,Fire (Fireworks/Crackers),0,14,10,6,1,31,1,5,1,1,0,8,39
ANDHRA PRADESH,2001,Fire (Short-Circuit),8,73,147,35,1,264,2,17,20,3,1,43,307
ANDHRA PRADESH,2001,Gas Cylinder/Stove Burst,7,62,83,37,15,204,33,400,191,72,36,732,936
ANDHRA PRADESH,2001,Other Fire Accidents,11,49,65,34,10,169,22,167,148,39,14,390,559
ANDHRA PRADESH,2001,Fire-Arms,5,2,3,4,5,19,2,2,2,1,0,7,26
ANDHRA PRADESH,2001,Sudden Deaths (Heart Attacks),10,8,58,116,28,220,3,0,20,28,8,59,279
ANDHRA PRADESH,2001,Epileptic Fits/Giddiness,0,5,20,6,3,34,0,1,8,6,0,15,49
ANDHRA PRADESH,2001,Abortions/Child Birth,0,0,0,0,0,0,4,6,9,0,0,19,19
ANDHRA PRADESH,2001,Influence of Alcohol,1,20,87,48,14,170,0,2,2,6,1,11,181
ANDHRA PRADESH,2001,Killed by animals,0,7,12,9,1,29,0,0,1,2,1,4,33
ANDHRA PRADESH,2001,Mines or quary disaster,0,4,4,4,0,12,0,0,1,2,0,3,15
ANDHRA PRADESH,2001,Food Poisioning/Accidental Intake of Ins,4,35,55,39,7,140,19,8,15,4,0,46,186
ANDHRA PRADESH,2001,Spurious/poisionous liquor,1,9,6,2,2,20,0,0,2,1,0,3,23
ANDHRA PRADESH,2001,Leakage of poisinous gases Etc.,0,0,4,0,0,4,0,0,0,0,0,0,4
ANDHRA PRADESH,2001,Snake Bite/Animal Bite,17,114,197,157,23,508,6,44,45,24,6,125,633
ANDHRA PRADESH,2001,Other,21,111,131,114,21,398,1,47,48,78,7,181,579
ANDHRA PRADESH,2001,Stampede,0,0,0,1,1,2,0,0,0,0,0,0,2
ANDHRA PRADESH,2001,Suffocation,1,3,2,2,1,9,0,0,0,0,0,0,9
ANDHRA PRADESH,2001,Traffic Accidents (Road Accidents),331,1994,2678,1531,413,6947,156,373,505,262,131,1427,8374
ANDHRA PRADESH,2001,Traffic Accidents (Rail-Road Accidents),20,119,227,134,58,558,4,11,21,19,13,68,626
ANDHRA PRADESH,2001,Other Railway Accidents,13,71,199,194,109,586,6,8,34,20,22,90,676
ANDHRA PRADESH,2001,Other Causes (Please Specify),44,186,309,290,51,880,24,81,175,66,15,361,1241
ANDHRA PRADESH,2001,Causes Not Known,16,157,190,107,39,509,23,90,36,17,13,179,688
ANDHRA PRADESH,2001,Total,718,3840,5381,3366,1010,14315,383,1497,1462,771,328,4441,18756
ANDHRA PRADESH,2001,Total Collapse,11,46,45,26,15,143,11,22,21,13,7,74,217
ANDHRA PRADESH,2001,Total Drowning,124,349,317,194,94,1078,42,137,89,59,42,369,1447
ANDHRA PRADESH,2001,Total Explosion,1,13,3,0,0,17,0,15,4,1,0,20,37
ANDHRA PRADESH,2001,Total Falls,41,210,266,171,63,751,11,33,27,20,7,98,849
ANDHRA PRADESH,2001,Total Fire,26,198,305,112,27,668,58,589,360,115,51,1173,1841
ANDHRA PRADESH,2001,Total Sudden Deaths,11,33,165,170,45,424,7,9,39,40,9,104,528
ANDHRA PRADESH,2001,Total Poisoning,43,269,393,312,53,1070,26,99,110,107,13,355,1425
ANDHRA PRADESH,2001,Total Traffic Accidents,364,2184,3104,1859,580,8091,166,392,560,301,166,1585,9676
ANDHRA PRADESH,2002,Air-Crash,0,1,1,3,0,5,0,0,0,0,0,0,5
ANDHRA PRADESH,2002,Collapse of Structure (House),2,8,26,10,1,47,1,3,6,0,2,12,59
ANDHRA PRADESH,2002,Collapse of Structure (Building),0,9,11,5,0,25,0,1,2,0,1,4,29
ANDHRA PRADESH,2002,Collapse of Structure (Dam),0,0,1,0,0,1,0,0,0,0,0,0,1
ANDHRA PRADESH,2002,Collapse of Structure (Bridge),0,3,1,3,0,7,0,0,0,0,0,0,7
ANDHRA PRADESH,2002,Collapse of Structure (Others),8,16,50,16,0,90,0,9,8,5,2,24,114
ANDHRA PRADESH,2002,Drowning (Boat Capsize),0,3,15,9,2,29,0,0,4,2,0,6,35
ANDHRA PRADESH,2002,Drowning (Other Cases),90,284,429,207,75,1085,31,89,115,44,31,310,1395
ANDHRA PRADESH,2002,Electrocution,9,176,295,154,19,653,4,22,25,9,5,65,718
ANDHRA PRADESH,2002,Explosion (Bomb explosion),0,1,8,12,0,21,0,3,4,1,0,8,29
ANDHRA PRADESH,2002,"Explosion(Other explosion like Boilers, Gas cylinder etc.)",0,0,7,4,0,11,1,6,1,0,0,8,19
ANDHRA PRADESH,2002,Falls (Fall from Height),30,131,208,139,20,528,9,15,25,9,4,62,590
ANDHRA PRADESH,2002,Fall into Pit/Manhole,8,13,26,17,9,73,7,5,3,6,1,22,95
ANDHRA PRADESH,2002,Factory/Machine Accidents,2,20,16,4,0,42,0,1,5,0,0,6,48
ANDHRA PRADESH,2002,Fire (Fireworks/Crackers),1,12,11,5,1,30,2,2,3,0,1,8,38
ANDHRA PRADESH,2002,Fire (Short-Circuit),12,66,63,40,3,184,2,8,8,7,0,25,209
ANDHRA PRADESH,2002,Gas Cylinder/Stove Burst,10,34,76,28,6,154,40,295,227,61,16,639,793
ANDHRA PRADESH,2002,Other Fire Accidents,17,76,88,64,10,255,21,202,163,106,18,510,765
ANDHRA PRADESH,2002,Fire-Arms,1,0,2,1,1,5,0,0,1,0,0,1,6
ANDHRA PRADESH,2002,Sudden Deaths (Heart Attacks),2,22,90,110,52,276,1,6,14,19,19,59,335
ANDHRA PRADESH,2002,Epileptic Fits/Giddiness,4,19,36,19,9,87,0,3,6,1,2,12,99
ANDHRA PRADESH,2002,Abortions/Child Birth,0,0,0,0,0,0,2,6,2,0,0,10,10
ANDHRA PRADESH,2002,Influence of Alcohol,0,23,96,69,14,202,0,3,4,3,0,10,212
ANDHRA PRADESH,2002,Killed by animals,1,8,9,4,5,27,0,1,1,1,1,4,31
ANDHRA PRADESH,2002,Mines or quary disaster,0,11,8,1,0,20,0,2,2,1,0,5,25
ANDHRA PRADESH,2002,Food Poisioning/Accidental Intake of Insecticides etc.,9,54,98,50,6,217,10,23,18,15,1,67,284
ANDHRA PRADESH,2002,Spurious/poisionous liquor,4,12,72,21,7,116,5,10,55,11,3,84,200
ANDHRA PRADESH,2002,Leakage of poisinous gases Etc.,0,1,3,1,0,5,0,3,4,2,0,9,14
ANDHRA PRADESH,2002,Snake Bite/Animal Bite,19,152,252,164,30,617,16,65,61,36,6,184,801
ANDHRA PRADESH,2002,Other,22,125,287,125,25,584,1,69,136,57,9,272,856
ANDHRA PRADESH,2002,Stampede,0,0,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,2002,Suffocation,0,3,2,0,0,5,0,0,0,1,0,1,6
ANDHRA PRADESH,2002,Traffic Accidents (Road Accidents),396,2470,2715,1820,433,7834,124,352,549,344,148,1517,9351
ANDHRA PRADESH,2002,Traffic Accidents (Rail-Road Accidents),0,4,4,0,0,8,0,0,0,1,0,1,9
ANDHRA PRADESH,2002,Other Railway Accidents,23,231,337,262,164,1017,6,21,44,60,38,169,1186
ANDHRA PRADESH,2002,Other Causes (Please Specify),13,88,275,234,73,683,10,41,59,51,19,180,863
ANDHRA PRADESH,2002,Causes Not Known,25,125,194,169,50,563,14,53,55,42,24,188,751
ANDHRA PRADESH,2002,Total,708,4201,5812,3770,1015,15506,307,1319,1610,895,351,4482,19988
ANDHRA PRADESH,2002,Total Collapse,10,36,89,34,1,170,1,13,16,5,5,40,210
ANDHRA PRADESH,2002,Total Drowning,90,287,444,216,77,1114,31,89,119,46,31,316,1430
