States/UTs,State/UT-Wise Total Number of Persons Injured in Road Accidents during-2009,State/UT-Wise Total Number of Persons Injured in Road Accidents during-2010,State/UT-Wise Total Number of Persons Injured in Road Accidents during-2011,State/UT-Wise Total Number of Persons Injured in Road Accidents during-2012,Share of States/UTs in Total Number of Persons Injured in Road Accidents-2009,Share of States/UTs in Total Number of Persons Injured in Road Accidents-2010,Share of States/UTs in Total Number of Persons Injured in Road Accidents-2011,Share of States/UTs in Total Number of Persons Injured in Road Accidents-2012,Total Number of Persons Injured in Road Accidents Per Lakh Population-2009,Total Number of Persons Injured in Road Accidents Per Lakh Population-2010,Total Number of Persons Injured in Road Accidents Per Lakh Population-2011,Total Number of Persons Injured in Road Accidents Per Lakh Population-2012,"Total Number of Persons Injured in Road Accidents per 10,000 Vehicles-2009","Total Number of Persons Injured in Road Accidents per 10,000 Vehicles-2010","Total Number of Persons Injured in Road Accidents per 10,000 Vehicles-2011","Total Number of Persons Injured in Road Accidents per 10,000 Km of Roads*-2009","Total Number of Persons Injured in Road Accidents per 10,000 Km of Roads*-2010","Total Number of Persons Injured in Road Accidents per 10,000 Km of Roads*-2011"
Andhra Pradesh,52157,53928,55583,51552,10.12,10.22,10.87,10.11,62.71,64.23,65.65,60.3,64.72,60.44,54.55,2245.43,2288.21,2335.41
Arunachal Pradesh,530,491,438,399,0.1,0.09,0.09,0.08,43.73,40.02,31.68,31.79,239.81,222.16,30.3,260.01,232.45,203.2
Assam,5522,7579,6505,6709,1.07,1.44,1.27,1.32,18.52,25.1,20.87,21.68,44.72,54.77,41.12,233.01,316.59,269.04
Bihar,7113,8106,7083,7142,1.38,1.54,1.39,1.4,7.49,8.41,6.82,7.21,36.3,34.39,26.5,571.95,633.11,542.17
Chhattisgarh,13274,13599,13929,13517,2.58,2.58,2.72,2.65,56.25,56.83,54.54,54.98,62.81,55.83,50.36,1512.99,1486.6,1482.37
Goa,2954,2709,2318,2086,0.57,0.51,0.45,0.41,178.49,158.05,159.02,114.8,43.83,37.26,29.34,2898.98,2615.95,2181.36
Gujarat,32944,32449,29744,27650,6.39,6.15,5.82,5.43,57.36,55.72,49.26,46.24,29.95,27.33,22.89,2145.89,2085.23,1904.37
Haryana,10481,9905,9727,9452,2.03,1.88,1.9,1.85,42.61,39.59,38.37,36.56,23.68,20.67,18.09,2908.83,2657.19,2330.97
Himachal Pradesh,5579,5325,5462,5248,1.08,1.01,1.07,1.03,83.74,79.15,79.66,76.55,112.84,98.91,87.85,1254.64,1139.42,1138.79
Jammu and Kashmir,8199,8726,10012,9755,1.59,1.65,1.96,1.91,71.83,75.43,79.78,82.22,122.82,118.09,108.01,3335.48,3386.07,3710.95
