States/UTs,State/UT-Wise Total Number of Persons Killed in Road Accidents during-2009,State/UT-Wise Total Number of Persons Killed in Road Accidents during-2010,State/UT-Wise Total Number of Persons Killed in Road Accidents during-2011,State/UT-Wise Total Number of Persons Killed in Road Accidents during-2012,Share of States/UTs in Total Number of Persons Killed in Road Accidents-2009,Share of States/UTs in Total Number of Persons Killed in Road Accidents-2010,Share of States/UTs in Total Number of Persons Killed in Road Accidents-2011,Share of States/UTs in Total Number of Persons Killed in Road Accidents-2012,Total Number of Persons Killed in Road Accidents Per Lakh Population-2009,Total Number of Persons Killed in Road Accidents Per Lakh Population-2010,Total Number of Persons Killed in Road Accidents Per Lakh Population-2011,Total Number of Persons Killed in Road Accidents Per Lakh Population-2012,"Total Number of Persons Killed in Road Accidents per 10,000 Vehicles-2009","Total Number of Persons Killed in Road Accidents per 10,000 Vehicles-2010","Total Number of Persons Killed in Road Accidents per 10,000 Vehicles-2011","Total Number of Persons Killed in Road Accidents per 10,000 Km of Roads*-2009","Total Number of Persons Killed in Road Accidents per 10,000 Km of Roads*-2010","Total Number of Persons Killed in Road Accidents per 10,000 Km of Roads*-2011"
Andhra Pradesh,14770,15684,15165,14964,11.75,11.66,10.64,10.82,17.76,18.68,17.91,17.5,18.33,17.58,14.88,635.87,665.49,637.18
Arunachal Pradesh,158,148,126,138,0.13,0.11,0.09,0.1,13.04,12.06,9.11,11,71.49,66.97,8.72,77.51,70.07,58.46
Assam,1991,2256,2342,2291,1.58,1.68,1.64,1.66,6.68,7.47,7.51,7.4,16.12,16.3,14.8,84.01,94.24,96.86
Bihar,4390,5137,5090,5056,3.49,3.82,3.57,3.66,4.62,5.33,4.9,5.11,22.4,21.79,19.04,353,401.22,389.62
Chhattisgarh,2865,2956,2983,3167,2.28,2.2,2.09,2.29,12.14,12.35,11.68,12.88,13.56,12.14,10.78,326.56,323.14,317.46
Goa,321,327,333,292,0.26,0.24,0.23,0.21,19.4,19.08,22.84,16.07,4.76,4.5,4.21,315.02,315.77,313.37
Gujarat,6983,7506,8008,7817,5.56,5.58,5.62,5.65,12.16,12.89,13.26,13.07,6.35,6.32,6.16,454.86,482.35,512.72
Haryana,4603,4719,4762,4446,3.66,3.51,3.34,3.22,18.71,18.86,18.78,17.2,10.4,9.85,8.86,1277.49,1265.95,1141.16
Himachal Pradesh,1140,1102,1072,1109,0.91,0.82,0.75,0.8,17.11,16.38,15.63,16.18,23.06,20.47,17.24,256.37,235.8,223.5
Jammu and Kashmir,1100,1045,1116,1165,0.88,0.78,0.78,0.84,9.64,9.03,8.89,9.82,16.48,14.14,12.04,447.5,405.51,413.65
Jharkhand,2170,2540,2572,2818,1.73,1.89,1.81,2.04,7.09,8.18,7.8,8.83,10.65,9.18,8.26,1044.69,1138.89,1076.04
